GeneID	Base_mean	log2(FC)	StdErr	Wald-Stats	P-value	P-adj
ENSG00000163064	1463.13624478275	-7.79809298111181	0.205692434032053	-37.9114235183616	0	0
ENSG00000205476	1056.72536020834	-3.97850741123523	0.0843956897775638	-47.1411208525118	0	0
ENSG00000176624	852.956194455285	-4.32382010591659	0.10624771697159	-40.6956519081982	0	0
ENSG00000160994	1794.38265901927	-8.92283110082318	0.209133956052381	-42.6656257513166	0	0
ENSG00000053918	632.724580714765	-4.8612022151577	0.132627483357276	-36.6530532895843	4.09116002533145e-294	1.00814365344218e-290
ENSG00000152439	734.38230936378	-3.52728396295158	0.103313617036813	-34.1415203931417	1.78662733050413e-255	3.66883922319024e-252
ENSG00000120057	2274.43235580627	-6.15647383429832	0.204473066017829	-30.1089720724465	3.69736078335226e-199	6.5078831730976e-196
ENSG00000117632	414.020285275427	-3.89134441846076	0.130629722205082	-29.7891196028997	5.40438936906216e-195	8.32343517702686e-192
ENSG00000180828	679.843308265168	-4.46326012468296	0.151454480336288	-29.4693172151315	7.1216185605608e-191	9.74949580940773e-188
ENSG00000130749	450.866748533812	-3.2079690025614	0.117798222265923	-27.232745459601	2.66073437547294e-163	3.27829082402021e-160
ENSG00000115053	1251.50736093222	-3.4188149511851	0.136388449849215	-25.0667483570991	1.1466991065343e-138	1.28440724469174e-135
ENSG00000074047	742.204339135162	-6.33897775879579	0.253692597117985	-24.9868456187065	8.49756507889409e-138	8.72487494475451e-135
ENSG00000143248	520.220292715076	-2.64000624324006	0.105820056208441	-24.9480706950285	2.24084701990146e-137	2.12380585632353e-134
ENSG00000165886	309.637832881697	-3.03346661744825	0.130122638643443	-23.3123663112954	3.32142091006622e-120	2.92308764520899e-117
ENSG00000166508	493.265092060295	-2.25540707355122	0.099301486116058	-22.7127222538767	3.35408418490761e-114	2.75504474948311e-111
ENSG00000144455	165.623524120875	-5.39975491486538	0.242060328998722	-22.3074757321919	3.12648913905546e-110	2.40759204264389e-107
ENSG00000277157	243.747974688271	-3.12505675424335	0.141544626568342	-22.0782436607332	5.11584898338542e-108	3.70778678378187e-105
ENSG00000171724	322.996135971785	-2.65030686045902	0.121092102597782	-21.8867027956583	3.47777534394562e-106	2.38053722293078e-103
ENSG00000143320	860.02136325321	-1.95934547190701	0.0918695578469955	-21.3274725363348	6.31279227412409e-101	4.09367966365699e-98
ENSG00000277775	201.557141680089	-3.36122103490711	0.15806187905907	-21.2652225502834	2.38357300978276e-100	1.46840015267667e-97
ENSG00000197061	388.13616405313	-2.52589036047068	0.121444608442448	-20.7987031525379	4.44669914486499e-96	2.60894191256579e-93
ENSG00000158373	215.693326138338	-3.28048037545108	0.164084543253472	-19.9926227687608	6.38498797322305e-89	3.57588349173096e-86
ENSG00000132646	145.731481439879	-3.94695643116259	0.200864806286637	-19.6498157349189	5.80231011613971e-86	3.10827230178076e-83
ENSG00000158406	236.322157644344	-2.89012587829527	0.14728022948565	-19.6233118891009	9.77710474132357e-86	5.01932114657699e-83
ENSG00000272031	229.832720987726	-3.03420949527557	0.155598305618199	-19.5002733687911	1.09197123973832e-84	5.38167105792631e-82
ENSG00000140836	981.123413820414	-2.03853406744702	0.106225337947728	-19.1906573971095	4.43000146242569e-82	2.09930953917488e-79
ENSG00000198910	850.418403567747	-1.54737343052197	0.082698532214535	-18.7110144410762	4.02637569656389e-78	1.83736944286532e-75
ENSG00000168772	151.147133743821	-4.43491075302583	0.246525626841837	-17.9896540973857	2.34818994173438e-72	1.03328743828962e-69
ENSG00000126247	363.842031892427	-2.23175477198405	0.124096447223397	-17.9840343693843	2.59876543410755e-72	1.104116859091e-69
ENSG00000143933	171.85510886259	-2.97603700976241	0.168216254437932	-17.691732702683	4.855902156613e-70	1.99431901572096e-67
ENSG00000184260	157.071393341299	-3.21299367131052	0.182911125325402	-17.5658734021484	4.4971904222077e-69	1.78741558683939e-66
ENSG00000165731	1607.50033768199	1.60220276575316	0.0913991012489472	17.5297431140945	8.49524012133384e-69	3.27093292296732e-66
ENSG00000122566	458.692339041102	-1.79946680423453	0.102946531378712	-17.4796253951945	2.04840304674708e-68	7.64799210271841e-66
ENSG00000180596	120.897987899599	-3.86885576031025	0.22147207261393	-17.4688199493867	2.47562189100569e-68	8.97121685855327e-66
ENSG00000110367	172.928657140505	-2.8074447679235	0.161267561406601	-17.4086142522186	7.09813328934904e-68	2.49874572165913e-65
ENSG00000245848	98.0139449882946	-4.63078060173556	0.270288698448552	-17.1327200445897	8.46050079691722e-66	2.89560639774492e-63
ENSG00000169181	104.101866015061	-3.92769321526033	0.234207788317434	-16.7701221358913	4.03678170942085e-63	1.34424830923714e-60
ENSG00000066279	178.378297117504	-2.68765499333488	0.160447521993357	-16.7509909778859	5.56908115712616e-63	1.80570128781451e-60
ENSG00000090581	712.607868435941	-1.91388858634689	0.116041153983716	-16.4931881547426	4.10695208404418e-61	1.29748093916688e-58
ENSG00000184357	205.620921981793	-3.01371339451873	0.183005172334057	-16.4679137539211	6.23849968387527e-61	1.92161386512568e-58
ENSG00000196118	83.5184031026757	-4.77310920800283	0.295986333105991	-16.1261135198888	1.67217703354743e-58	5.02509590983852e-56
